Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,150.0,150.88,149.59,150.84,150.84,34979419
2023-01-03,150.84,150.99,147.57,148.67,148.67,56598928
2023-01-04,148.67,149.3,146.17,146.21,146.21,34672546
2023-01-05,146.21,147.09,143.84,144.65,144.65,68051262
2023-01-06,144.65,146.31,144.33,145.52,145.52,59544950
2023-01-09,145.52,146.79,143.14,144.23,144.23,30714555
2023-01-10,144.23,145.86,144.01,145.37,145.37,71237223
2023-01-11,145.37,145.5,144.28,144.42,144.42,76874384
2023-01-12,144.42,144.8,143.46,143.52,143.52,50831481
2023-01-13,143.52,145.13,142.98,143.73,143.73,57046819
2023-01-16,143.73,144.63,141.28,142.54,142.54,44268915
2023-01-17,142.54,143.99,142.47,142.98,142.98,35293994
2023-01-18,142.98,145.96,141.76,144.54,144.54,78148734
2023-01-19,144.54,144.94,141.33,142.23,142.23,44483473
2023-01-20,142.23,142.74,139.37,140.31,140.31,67098363
2023-01-23,140.31,143.69,139.46,142.76,142.76,31484920
2023-01-24,142.76,143.3,142.1,142.95,142.95,38115891
2023-01-25,142.95,146.68,142.15,145.75,145.75,65943684
2023-01-26,145.75,146.87,144.65,144.73,144.73,75150238
2023-01-27,144.73,145.19,141.64,142.02,142.02,34158818
2023-01-30,142.02,145.19,141.0,144.37,144.37,34269125
2023-01-31,144.37,145.84,143.05,145.27,145.27,50793026
2023-02-01,145.27,145.47,142.12,143.19,143.19,56170153
2023-02-02,143.19,144.03,140.56,141.83,141.83,46803314
2023-02-03,141.83,143.24,140.85,141.05,141.05,53119287
2023-02-06,141.05,141.12,138.59,138.74,138.74,62107191
2023-02-07,138.74,139.68,136.03,136.85,136.85,45821297
2023-02-08,136.85,138.21,135.48,136.2,136.2,57126361
2023-02-09,136.2,138.19,135.22,138.17,138.17,65748808
2023-02-10,138.17,141.35,137.11,140.3,140.3,42828789
2023-02-13,140.3,140.91,137.49,138.12,138.12,68458777
2023-02-14,138.12,140.57,137.43,140.2,140.2,31989124
2023-02-15,140.2,140.39,139.32,140.24,140.24,76483473
2023-02-16,140.24,141.88,140.03,141.02,141.02,71171233
2023-02-17,141.02,142.36,137.83,139.11,139.11,20038379
2023-02-20,139.11,140.34,138.95,139.66,139.66,44359226
2023-02-21,139.66,142.96,139.23,141.78,141.78,23887292
2023-02-22,141.78,142.58,140.2,140.31,140.31,69117487
2023-02-23,140.31,140.41,139.16,140.23,140.23,71394278
2023-02-24,140.23,141.16,136.82,138.13,138.13,31081482
2023-02-27,138.13,139.34,136.25,136.83,136.83,34213536
2023-02-28,136.83,140.23,135.89,139.18,139.18,67845195
2023-03-01,139.18,140.57,137.23,138.13,138.13,49400398
2023-03-02,138.13,140.97,137.79,140.34,140.34,24296705
2023-03-03,140.34,141.17,139.11,139.43,139.43,34778538
2023-03-06,139.43,140.42,136.6,136.68,136.68,24523159
2023-03-07,136.68,140.09,136.58,138.9,138.9,35972220
2023-03-08,138.9,139.57,136.93,137.67,137.67,68543368
2023-03-09,137.67,140.87,137.02,140.07,140.07,72654918
2023-03-10,140.07,140.64,139.79,139.92,139.92,64223583
2023-03-13,139.92,140.51,138.88,139.53,139.53,68927452
2023-03-14,139.53,140.44,136.15,137.04,137.04,24067647
2023-03-15,137.04,137.5,135.33,136.51,136.51,36687044
2023-03-16,136.51,137.24,134.64,134.83,134.83,32313673
2023-03-17,134.83,135.17,132.41,133.64,133.64,49738000
2023-03-20,133.64,136.45,133.51,135.29,135.29,63764702
2023-03-21,135.29,139.14,133.98,137.99,137.99,70570924
2023-03-22,137.99,140.14,137.32,139.91,139.91,34344338
2023-03-23,139.91,143.23,139.68,141.95,141.95,20144644
2023-03-24,141.95,145.09,140.84,144.71,144.71,50535094
2023-03-27,144.71,145.72,142.42,143.47,143.47,72570502
2023-03-28,143.47,144.82,143.25,143.79,143.79,39911725
2023-03-29,143.79,143.87,141.12,142.17,142.17,24090793
2023-03-30,142.17,143.66,141.34,143.58,143.58,53745717
2023-03-31,143.58,146.77,143.5,145.99,145.99,54079793
2023-04-03,145.99,146.26,142.69,143.54,143.54,65312747
2023-04-04,143.54,146.21,142.19,145.62,145.62,58230269
2023-04-05,145.62,146.49,143.25,144.14,144.14,48133707
2023-04-06,144.14,145.87,143.68,145.05,145.05,37499689
2023-04-07,145.05,146.09,142.99,143.33,143.33,46560738
2023-04-10,143.33,144.26,140.56,141.21,141.21,70456771
2023-04-11,141.21,143.68,140.33,143.67,143.67,57781863
2023-04-12,143.67,146.63,143.36,146.52,146.52,37797298
2023-04-13,146.52,147.03,144.27,144.37,144.37,36393649
2023-04-14,144.37,144.6,142.42,143.62,143.62,67213765
2023-04-17,143.62,145.03,141.34,142.49,142.49,55496609
2023-04-18,142.49,143.65,139.26,139.68,139.68,64519263
2023-04-19,139.68,140.91,137.11,137.47,137.47,79707609
2023-04-20,137.47,138.23,134.94,135.31,135.31,60589442
2023-04-21,135.31,135.77,132.82,133.74,133.74,77238010
2023-04-24,133.74,134.39,131.28,132.48,132.48,76781059
2023-04-25,132.48,133.32,129.02,130.1,130.1,22958612
2023-04-26,130.1,131.1,126.71,127.52,127.52,37579520
2023-04-27,127.52,128.08,124.9,125.79,125.79,57641822
2023-04-28,125.79,125.88,122.23,123.32,123.32,30002863
2023-05-01,123.32,124.57,122.6,123.54,123.54,29938405
2023-05-02,123.54,123.59,122.74,123.19,123.19,73426863
2023-05-03,123.19,125.57,122.75,125.52,125.52,65772720
2023-05-04,125.52,125.65,123.29,124.26,124.26,79333275
2023-05-05,124.26,127.35,123.33,126.12,126.12,35887173
2023-05-08,126.12,129.21,125.1,127.96,127.96,79150840
2023-05-09,127.96,128.19,126.33,127.51,127.51,72505068
2023-05-10,127.51,130.75,126.41,129.71,129.71,74408465
2023-05-11,129.71,129.92,127.5,128.4,128.4,45671940
2023-05-12,128.4,131.43,128.11,130.31,130.31,74800199
2023-05-15,130.31,132.95,129.24,132.49,132.49,78473499
2023-05-16,132.49,132.52,130.8,131.05,131.05,42029286
2023-05-17,131.05,131.14,128.89,129.89,129.89,43565017
2023-05-18,129.89,131.15,128.62,130.63,130.63,55984828
2023-05-19,130.63,130.67,128.61,129.75,129.75,37529855
2023-05-22,129.75,131.0,127.74,128.08,128.08,27274771
2023-05-23,128.08,129.01,127.07,128.57,128.57,49285897
2023-05-24,128.57,129.78,128.07,129.12,129.12,58694168
2023-05-25,129.12,129.18,126.96,127.52,127.52,54891263
2023-05-26,127.52,130.39,126.6,129.69,129.69,69791426
2023-05-29,129.69,131.18,129.13,130.92,130.92,64576236
2023-05-30,130.92,133.95,130.05,133.12,133.12,28363463
2023-05-31,133.12,134.69,132.71,134.29,134.29,47406784
2023-06-01,134.29,135.23,132.62,133.36,133.36,32874170
2023-06-02,133.36,134.61,132.04,132.94,132.94,31678777
2023-06-05,132.94,133.95,132.21,133.55,133.55,20027242
2023-06-06,133.55,133.83,131.46,132.5,132.5,60712368
